	0.1	0.2	0.4	0.6
0	0.001	0.001	0.001	0.001
1	1.94937	1.9174	1.85298	1.7879
2	0.18204	0.178009	0.169784	0.161306
3	0.002	0.002	0.002	0.002
4	3.28465	3.22097	3.09389	2.96708
5	0.1929	0.188088	0.178374	0.168503
6	0.003	0.003	0.003	0.003
7	4.23918	4.14445	3.95712	3.7724
8	0.198324	0.192565	0.181015	0.169373
9	0.004	0.004	0.004	0.004
10	4.96016	4.83455	4.58834	4.34833
11	0.203544	0.196758	0.183236	0.169702
12	0.005	0.005	0.005	0.005
13	5.51465	5.35825	5.05437	4.76148
14	0.209125	0.201271	0.185727	0.170292
15	0.006	0.006	0.006	0.006
16	5.94574	5.7585	5.39788	5.05417
17	0.215599	0.206651	0.189077	0.171786
18	0.007	0.007	0.007	0.007
19	6.28255	6.06418	5.64736	5.25453
20	0.223416	0.213338	0.193709	0.174584
21	0.008	0.008	0.008	0.008
22	6.54523	6.29517	5.82222	5.38156
23	0.232904	0.221624	0.19983	0.178778
24	0.009	0.009	0.009	0.009
25	6.74823	6.46553	5.93596	5.44833
26	0.244293	0.231671	0.207457	0.184208
27	0.01	0.01	0.01	0.01
28	6.90207	6.58535	5.99798	5.46374
29	0.257773	0.243579	0.2165	0.190567
30	0.011	0.011	0.011	0.011
31	7.01466	6.66186	6.01462	5.4336
32	0.273576	0.257458	0.226828	0.197451
33	0.012	0.012	0.012	0.012
34	7.09201	6.7002	5.98987	5.36115
35	0.292069	0.273501	0.238299	0.204324
36	0.013	0.013	0.013	0.013
37	7.13884	6.70379	5.92545	5.24724
38	0.313871	0.292064	0.250757	0.210369
39	0.014	0.014	0.014	0.014
40	7.15856	6.67409	5.82048	5.08975
41	0.340045	0.313771	0.263947	0.214018
42	0.015	0.015	0.015	0.015
43	7.15257	6.60944	5.66975	4.88186
44	0.372441	0.339656	0.277226	0.211369
45	0.016	0.016	0.016	0.016
46	7.11804	6.50193	5.45986	4.608
47	0.414454	0.371427	0.288545	0.186623
48	0.017	0.017	0.017	0.017
49	7.04299	6.33007	5.16003	4.23436
50	0.473081	0.411899	0.289532	
51	0.018	0.018	0.018	0.018
52	6.89133	6.03637	4.69417	3.68067
53	0.563029	0.46275	0.165063	
54	0.019	0.019	0.019	0.019
55	6.52441	5.41378	3.80782	2.69034
56	0.689619	0.469047		
